Sigle,Autor,Titel,Sammlung,Referenz,Jahr,Jahr_Schlawe,Jahr_Frank,Jahr_Metricalizer,Zeitraum_Frank,Zeitraum,Frank,Schlawe,Strophenformen,Metricalizer,Freiburger Anthologie,Zeno,Besonderheiten,falsche Zuordnungen
Arndt - Des Zweiflers Unruh,"""Arndt, Ernst Moritz""",Des Zweiflers Unruh,,,,,,,1770-1830,,4.110,,,,,http://www.zeno.org/nid/20004460049,,
Arndt - Deutscher Trost,"""Arndt, Ernst Moritz""",Deutscher Trost,,,,,1813,,1770-1830,,4.42,,,,,http://www.zeno.org/nid/20004459350,,
Arndt - Deutsches Kriegslied,"""Arndt, Ernst Moritz""",Deutsches Kriegslied,,,,,1806,,1770-1830,,4.34,,,,,http://www.zeno.org/nid/20004458397,,
Arndt - Die Ausfahrt zur Heimholung des Deutschen Kaisers,"""Arndt, Ernst Moritz""",Die Ausfahrt zur Heimholung des Deutschen Kaisers,,,,,1849,,1830-1900,,4.47,,,,,http://www.zeno.org/nid/2000446060X,,
Arndt - Die Nachtrheinfahrt,"""Arndt, Ernst Moritz""",Die Nachtrheinfahrt,,,,,,,1770-1830,,4.110,,,,,http://www.zeno.org/nid/20004460154,,
"Arndt - Flammet Herzen, wehet Fahnen","""Arndt, Ernst Moritz""","Flammet Herzen, wehet Fahnen",Katechismus für den deutschen Wehrmann (1813),,1813,,1813,,1770-1830,,6.27,,,,,http://www.zeno.org/nid/20004459210,,
Arndt - Freudenlied,"""Arndt, Ernst Moritz""",Freudenlied,,,,,1799,,1770-1830,,4.68,,,,,,,
"Arndt - Frischauf, ihr deutschen Brüder","""Arndt, Ernst Moritz""","Frischauf, ihr deutschen Brüder",Katechismus für den deutschen Wehrmann (1813),,1813,,1813,,1770-1830,,8.6,,,,,http://www.zeno.org/nid/20004459202,,
Arndt - Frühling (Wann die leisen Bächlein rauschen),"""Arndt, Ernst Moritz""",Frühling (Wann die leisen Bächlein rauschen),,,,,,,1770-1830,,8.26,,,,,http://www.zeno.org/nid/20004459954,,
Arndt - Gebet,"""Arndt, Ernst Moritz""",Gebet,,,,,1813,,1770-1830,,6.22,,,,,http://www.zeno.org/nid/20004458826,,
Arndt - Gerechtigkeit Gottes,"""Arndt, Ernst Moritz""",Gerechtigkeit Gottes,,,,,,,1770-1830,,6.48,,,,,http://www.zeno.org/nid/20004460111,,
Arndt - Gottes Gericht,"""Arndt, Ernst Moritz""",Gottes Gericht,,,,,1813,,1770-1830,,4.62,,,,,http://www.zeno.org/nid/2000445877X,,
Arndt - Grablied,"""Arndt, Ernst Moritz""",Grablied,,,,,,,1770-1830,,6.23,,,,,http://www.zeno.org/nid/20004459776,,
Arndt - Klage,"""Arndt, Ernst Moritz""",Klage,,,,,,,1770-1830,,8.17,,,,,http://www.zeno.org/nid/20004458222,,
Arndt - Klage um Auerswald und Lichnowsky,"""Arndt, Ernst Moritz""",Klage um Auerswald und Lichnowsky,,,,,um/nach 1848,,1830-1900,,8.7,,,,,http://www.zeno.org/nid/20004460529,,
"Arndt - Kommt her, ihr seid geladen","""Arndt, Ernst Moritz""","Kommt her, ihr seid geladen",,,,,,,1770-1830,,8.6,,,,,,,
Arndt - Kriegslied,"""Arndt, Ernst Moritz""",Kriegslied,,,,,,,1770-1830,,6.15,,,,,http://www.zeno.org/nid/20004458931,Frank: füllungsfrei bis daktylisch,
Arndt - Lebensmut,"""Arndt, Ernst Moritz""",Lebensmut,,,,,,,1770-1830,,8.29,,,,,http://www.zeno.org/nid/20004458265,,
Arndt - Lehre an mich,"""Arndt, Ernst Moritz""",Lehre an mich,,,,,,,1770-1830,,8.44,,,,,http://www.zeno.org/nid/20004459881,,
Arndt - Liebeskraft,"""Arndt, Ernst Moritz""",Liebeskraft,,,,,,,1770-1830,,4.106,,,,,http://www.zeno.org/nid/20004458192,,
Arndt - Mimerung unter deutschen Eichen,"""Arndt, Ernst Moritz""",Mimerung unter deutschen Eichen,,,,,,,1770-1830,,4.83,,,,,http://www.zeno.org/nid/20004460367,Frank: reimlos,
Arndt - Reue über die Sünde,"""Arndt, Ernst Moritz""",Reue über die Sünde,Katechismus für den deutschen Wehrmann (1813),,1813,,,,1770-1830,,6.38,,,,,http://www.zeno.org/nid/20004459156,,
Arndt - Ruf an den Geist,"""Arndt, Ernst Moritz""",Ruf an den Geist,,,,,,,1770-1830,,4.58,,,,,http://www.zeno.org/nid/20004459849,,
Arndt - Trost auf Gott,"""Arndt, Ernst Moritz""",Trost auf Gott,Katechismus für den deutschen Wehrmann (1813),,1813,,Beginn 19. Jh.,,1770-1830,,8.12,,,,,http://www.zeno.org/nid/20004459164,,
Arndt - Trost in Christo,"""Arndt, Ernst Moritz""",Trost in Christo,,,,,,,1770-1830,,8.6,,,,,http://www.zeno.org/nid/2000445975X,,
"Arndt - Vaterlandslied (Der Gott, der Eisen wachsen ließ, / Der wollte keine Knechte)","""Arndt, Ernst Moritz""","Vaterlandslied (Der Gott, der Eisen wachsen ließ, / Der wollte keine Knechte)",,,,,,1812,1770-1830,,8.15,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b196758952e88df742c,http://www.zeno.org/nid/20004459067,,
Arndt - Vor der Schlacht,"""Arndt, Ernst Moritz""",Vor der Schlacht,Katechismus für den deutschen Wehrmann (1813),,1813,,,,1770-1830,,6.23,,,,,http://www.zeno.org/nid/20004459229,,
Arndt - Wer ist ein Mann?,"""Arndt, Ernst Moritz""",Wer ist ein Mann?,,,,,1813,,1770-1830,,4.34,,,,,http://www.zeno.org/nid/20004459547,,
Arndt - Wohlauf mit Herz und Mut,"""Arndt, Ernst Moritz""",Wohlauf mit Herz und Mut,Katechismus für den deutschen Wehrmann (1813),,,,1813,,1770-1830,,8.4,,,,,http://www.zeno.org/nid/20004459261,,
Arndt - Zu Martin Luthers 300jähriger Todesfeier,"""Arndt, Ernst Moritz""",Zu Martin Luthers 300jähriger Todesfeier,,,,,,,1770-1830,,7.11,,,,,http://www.zeno.org/nid/20004460359,,
Arndt - Zur Fahnenweihe des Bonner Veteranenvereins,"""Arndt, Ernst Moritz""",Zur Fahnenweihe des Bonner Veteranenvereins,,,,,,,1770-1830,,8.37,,,,,http://www.zeno.org/nid/20004460731,,
"Arnim, A. - Auf Menschen sollst du nicht vertrauen","""Arnim, Achim von""",Auf Menschen sollst du nicht vertrauen,Die Kronenwächter I,,1811/17,,,,1770-1830,,4.67,,,,,http://www.zeno.org/nid/20004462653,,
"Arnim, A. - Becherklang","""Arnim, Achim von""",Becherklang,,,1806/08,,,,1770-1830,,8.27,,,,,http://www.zeno.org/nid/20004461975,,
"Arnim, A. - Der König ohne Volk (Der Zepter)","""Arnim, Achim von""",Der König ohne Volk (Der Zepter),,,1808,,,,1770-1830,,4.20,,,,,http://www.zeno.org/nid/20004462386,,
"Arnim, A. - Der Sonntag winkt mit stillen Blicken","""Arnim, Achim von""",Der Sonntag winkt mit stillen Blicken,Die Kronenwächter I,,,,,,1770-1830,,8.37,,,,,,,
"Arnim, A. - Des Bergmanns ewige Jugend","""Arnim, Achim von""",Des Bergmanns ewige Jugend,,,1803/10,,,,1770-1830,,12.0,,,,,http://www.zeno.org/nid/20004462254,,
"Arnim, A. - Die Uhr der Liebe","""Arnim, Achim von""",Die Uhr der Liebe,Gräfin Dolores,,,,,,1770-1830,,8.2,,,,,,,
"Arnim, A. - Für meinen Vater bettle ich","""Arnim, Achim von""",Für meinen Vater bettle ich,Die Kronenwächter I,,,,,,1770-1830,,6.15,,,,,,,
"Arnim, A. - Hochzeitssterne sind versunken","""Arnim, Achim von""",Hochzeitssterne sind versunken,Die Kronenwächter I,,,,,,1770-1830,,8.26,,,,,,,
"Arnim, A. - Kalte Hände, warmes Herz","""Arnim, Achim von""","Kalte Hände, warmes Herz",Die drei glücklichen Schwestern,,1812,,Ende 18. Jh.,,1770-1830,,8.13,,,,,http://www.zeno.org/nid/20004462912,,
"Arnim, A. - Laß, o Herr, das Werk der Zeiten","""Arnim, Achim von""","Laß, o Herr, das Werk der Zeiten",Die Kronenwächter I,,,,,,1770-1830,,8.29,,,,,,,
"Arnim, A. - Mädchen, führet dich dein Knabe","""Arnim, Achim von""","Mädchen, führet dich dein Knabe",Gräfin Dolores,,1810,,,,1770-1830,,8.29,,,,,http://www.zeno.org/nid/20004462823,,
"Arnim, A. - O tiefer Strom, der alle Welt durchschnitten","""Arnim, Achim von""","O tiefer Strom, der alle Welt durchschnitten",Die Kronenwächter II,,,,frühes 19. Jh.,,1770-1830,,8.46,,,,,,,
"Arnim, A. - Ritt im Mondenschein","""Arnim, Achim von""",Ritt im Mondenschein,,,1820/31,,,1820,1770-1830,,4.31,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b196758952e88df7424,http://www.zeno.org/nid/20004462289,,
"Arnim, A. - Sie gab, was mich verarmet","""Arnim, Achim von""","Sie gab, was mich verarmet",Gräfin Dolores,,1810,,,,1770-1830,,8.7,,,,,http://www.zeno.org/nid/20004462815,Frank: ursprgl. 4.20,
"Arnim, A. - Still bewahr es in Gedanken","""Arnim, Achim von""",Still bewahr es in Gedanken,Gräfin Dolores,,1800/1808,,,,1770-1830,,6.26,,,,,http://www.zeno.org/nid/20004462645,,
"Arnim, A. - Verschiedenheit","""Arnim, Achim von""",Verschiedenheit,,,1808,,1808,,1770-1830,,6.48,,,,,http://www.zeno.org/nid/2000446320X,,
"Arnim, A. - Was öffnet meinen innern Sinn","""Arnim, Achim von""",Was öffnet meinen innern Sinn,Jerusalem,,,,,,1770-1830,,6.15,,,,,,,
"Arnim, A. - Weiße Schöne, ach erwache","""Arnim, Achim von""","Weiße Schöne, ach erwache",Halle und Jerusalem,,,,,,1770-1830,,8.26,,,,,,,
"Arnim, B. - Das Lied vom Hemdelein","""Arnim, Bettina von""",Das Lied vom Hemdelein,,,,,,,1770-1830,,4.16,,,,,0,,
"Arnim, B. - Der Vulkan","""Arnim, Bettina von""",Der Vulkan,,,,,,,1770-1830,,6.31,,,,,0,,
"Arnold - Ihr Sions-Töchter, die ihr","""Arnold, Gottfried""","Ihr Sions-Töchter, die ihr",,,,,,,1600-1700,,4.34,,,,,0,,
Arnold - Lasset uns beständig trachten,"""Arnold, Gottfried""",Lasset uns beständig trachten,,,,,,,1600-1700,,10.5,,,,,0,,
"Arnold - Nichts, gar nichts auf dieser Erden","""Arnold, Gottfried""","Nichts, gar nichts auf dieser Erden",,,,,18. Jh.,,1700-1770,,6.27,,,,,0,,
Arnold - O Durchbrecher aller Bande,"""Arnold, Gottfried""",O Durchbrecher aller Bande,,,,,,,1600-1700,,8.26,,,,,0,,
"Arnold - O Rosenmund, komm küsse mich","""Arnold, Gottfried""","O Rosenmund, komm küsse mich",,,,,Pietismus 18. Jh.,,1700-1770,,7.7,,,,,0,,
"Arnold - Schau, liebe Seel, wie dich Gott liebt","""Arnold, Gottfried""","Schau, liebe Seel, wie dich Gott liebt",,,,,Barock,,1600-1700,,12.4,,,,,0,,
Arnold - Wenn Vernunft von Christi Leiden,"""Arnold, Gottfried""",Wenn Vernunft von Christi Leiden,,,,,,,1600-1700,,8.25,,,,,0,,
Arnschwanger - Da ein Pharisäer geht,"""Arnschwanger, Johann Christoph""",Da ein Pharisäer geht,,,,,,,1600-1700,,4.45,,,,,0,,
"Arnschwanger - Frisch auf, betrübter Geist in mir","""Arnschwanger, Johann Christoph""","Frisch auf, betrübter Geist in mir",,,,,,,1600-1700,,10.2,,,,,0,,
"Arnschwanger - Jesu, meiner Seelen Wonne","""Arnschwanger, Johann Christoph""","Jesu, meiner Seelen Wonne",,,,,,,1600-1700,,10.5,,,,,0,,
"Arnschwanger - Tochter Zion, nimm in acht","""Arnschwanger, Johann Christoph""","Tochter Zion, nimm in acht",,,,,,,1600-1700,,6.22,,,,,0,,
Assig - Cupidinis Testament,"""Assig, Hans von""",Cupidinis Testament,,,,,,,1600-1700,,6.39,,,,,0,,
Ausländer - Das erste Erbe,"""Ausländer, Rose""",Das erste Erbe,,,,,,,1900-2000,,"4.93,4.93a",,,,,0,,
Avenarius - Abend,"""Avenarius, Ferdinand""",Abend,,,,,,,1830-1900,,4.42,,,,,0,,
Avenarius - April,"""Avenarius, Ferdinand""",April,,,,,,,1830-1900,,4.31,,,,,0,,
Avenarius - Das Brauttuch,"""Avenarius, Ferdinand""",Das Brauttuch,,,,,,,1830-1900,,8.14,,,,,0,,
Avenarius - Die Pest,"""Avenarius, Ferdinand""",Die Pest,,,,,,,1830-1900,,4.58,,,,,0,,
Avenarius - Die zeugende Hand,"""Avenarius, Ferdinand""",Die zeugende Hand,,,,,,,1830-1900,,8.30,,,,,0,,
Avenarius - Im Walde,"""Avenarius, Ferdinand""",Im Walde,,,,,,,1830-1900,,4.7,,,,,0,,
Avenarius - Kameradschaft,"""Avenarius, Ferdinand""",Kameradschaft,,,,,,,1830-1900,,8.2,,,,,0,Frank: mit der Freiheit doppelter Senkungen,
Avenarius - Mondbilder 5,"""Avenarius, Ferdinand""",Mondbilder 5,,,,,,,1830-1900,,2.5,,,,,0,,
Avenarius - Mondbilderl,"""Avenarius, Ferdinand""",Mondbilderl,,,,,,,1830-1900,,4.102,,,,,0,,
Avenarius - Rolands Horn,"""Avenarius, Ferdinand""",Rolands Horn,,,,,,,1830-1900,,2.5,,,,,0,,
Avenarius - Tejas Heimfahrt,"""Avenarius, Ferdinand""",Tejas Heimfahrt,,,,,,,1830-1900,,4.36,,,,,0,,
"Ayrer - Zu dir, o Gott und Vater mein","""Ayrer, Jakob""","Zu dir, o Gott und Vater mein",,,,,16. Jh.,,-1600,,6.33,,,,,0,,
Bächler - Die Erde bebt noch,"""Bächler, Wolfgang""",Die Erde bebt noch,,,,,,,1900-2000,,5.16,,,,,0,,
Bächler - Eines Nachts,"""Bächler, Wolfgang""",Eines Nachts,,,,,,,1900-2000,,4.21,,,,,0,,
Bächler - Unruhige Nacht,"""Bächler, Wolfgang""",Unruhige Nacht,,,,,,,1900-2000,,4.103,,,,,0,,
Bachmann - Bleib,"""Bachmann, Ingeborg""",Bleib,,,,,,,1900-2000,,"4.20,4.20a",,,,,0,,
Bachmann - Die große Fracht,"""Bachmann, Ingeborg""",Die große Fracht,,,,,,,1900-2000,,4.105,,,,,0,erste Strophe anderes Kadenzschema,
Bachmann - Heimweg,"""Bachmann, Ingeborg""",Heimweg,,,,,,,1900-2000,,"4.13,4.13a",,,,,0,,
Bachmann - Lieder auf der Flucht 1,"""Bachmann, Ingeborg""",Lieder auf der Flucht 1,,,,,,,1900-2000,,"4.16,4.16a",,,,,0,,
Bachmann - Nach vielen Jahren,"""Bachmann, Ingeborg""",Nach vielen Jahren,,,,,,,1900-2000,,4.106,,,,,0,,
Bachmann - Nord und Süd,"""Bachmann, Ingeborg""",Nord und Süd,,,,,,,1900-2000,,4.106,,,,,0,,
Bachmann - Toter Hafen,"""Bachmann, Ingeborg""",Toter Hafen,,,,,,,1900-2000,,"4.93,4.93a",,,,,0,,
"Bambanius - Herr Gott, der du nicht Lust","""Bambanius, Petrus""","Herr Gott, der du nicht Lust",,,,,,,1600-1700,,4.108,,,,,0,,
"Bambanius - Suse, liebes Kindelein","""Bambanius, Petrus""","Suse, liebes Kindelein",,WA V 160,,,1589,,-1600,,6.21,,,,,0,,
Bartels - An Klaus Groth,"""Bartels, Adolf""",An Klaus Groth,,,,,,,1830-1900,,4.64,,,,,0,,
Bartels - An Weimar bei der Vorbereitung der Weimarer Nationalfestspiele,"""Bartels, Adolf""",An Weimar bei der Vorbereitung der Weimarer Nationalfestspiele,,,,,,,1830-1900,,3.7,,,,,0,,
"Bartels - Deutsches Lied, den deutschvölkischen Studenten gewidmet","""Bartels, Adolf""","Deutsches Lied, den deutschvölkischen Studenten gewidmet",,,,,1913,,1900-2000,,4.36,,,,,0,,
Bartels - Die Ganzgescheiten,"""Bartels, Adolf""",Die Ganzgescheiten,,,,,20. Jh.,,1900-2000,,8.10,,,,,0,,
Bartels - Friedrich Nietzsches Grab,"""Bartels, Adolf""",Friedrich Nietzsches Grab,,,,,,,1830-1900,,2.9,,,,,0,,
Bartels - Polenlied,"""Bartels, Adolf""",Polenlied,,,,,20. Jh.,,1900-2000,,8.26,,,,,0,,
Bartels - Unsere Zeit,"""Bartels, Adolf""",Unsere Zeit,,,,,20. Jh.,,1900-2000,,8.46,,,,,0,,
Bartels - Volk und Adel,"""Bartels, Adolf""",Volk und Adel,,,,,20. Jh.,,1900-2000,,8.7,,,,,0,,
"Barth, C.G. - Der du in Todesnächten","""Barth, Christian Gottlob""",Der du in Todesnächten,,,,,,,1830-1900,,8.7,,,,,0,,
"Barth, E. - Auf einer alten Brücke","""Barth, Emil""",Auf einer alten Brücke,,,,,,,1900-2000,,4.90,,,,,0,,
"Barth, E. - Ballade um zwölf","""Barth, Emil""",Ballade um zwölf,,,,,,,1900-2000,,4.100,,,,,0,,
"Barth, E. - Im alten Tal","""Barth, Emil""",Im alten Tal,,,,,,,1900-2000,,8.7,,,,,0,,
"Barth, E. - Mädchenbildnis der Mutter","""Barth, Emil""",Mädchenbildnis der Mutter,,,,,,,1900-2000,,6.44,,,,,0,,
"Barth, E. - Nachtgleiche","""Barth, Emil""",Nachtgleiche,,,,,,,1900-2000,,2.7,,,,,0,,
"Barth, E. - Schnee","""Barth, Emil""",Schnee,,,,,,,1900-2000,,4.103,,,,,0,,
"Barthel, L.F. - In die Weite","""Barthel, Ludwig Friedrich""",In die Weite,,,,,1937,,1900-2000,,4.36,,,,,0,,
"Barthel, M. - Abendgang","""Barthel, Max""",Abendgang,,,,,,,1900-2000,,4.40,,,,,0,,
"Barthel, M. - Das Jahr ist um","""Barthel, Max""",Das Jahr ist um,,,,,nach 1900,,1900-2000,,6.9,,,,,0,,
"Barthel, M. - Erlösung","""Barthel, Max""",Erlösung,,,,,20. Jh.,,1900-2000,,8.2,,,,,0,,
"Barthel, M. - Erwachen in der Nacht","""Barthel, Max""",Erwachen in der Nacht,,,,,,,1900-2000,,4.66,,,,,0,,
"Barthel, M. - Heimgang","""Barthel, Max""",Heimgang,,,,,,,1900-2000,,4.13,,,,,0,,
"Barthel, M. - In der Nacht","""Barthel, Max""",In der Nacht,,,,,,,1900-2000,,4.104,,,,,0,,
"Barthel, M. - Liebeslied","""Barthel, Max""",Liebeslied,,,,,,,1900-2000,,4.52,,,,,0,,
"Barthel, M. - Petersburg","""Barthel, Max""",Petersburg,,,,,,,1900-2000,,4.125,,,,,0,,
"Baumann, C. - Wo soll ich mich hinkehren","""Baumann, Christof""",Wo soll ich mich hinkehren,,,,,,,-1600,,8.5,,,,,0,,
"Baumann, H. - Es zittern die morschen","""Baumann, Hans""",Es zittern die morschen,,,,,,,1900-2000,,4.21,,,,,0,,
"Baumann, H. - Hohe Nacht der klaren Sterne","""Baumann, Hans""",Hohe Nacht der klaren Sterne,,,,,,,1900-2000,,4.49,,,,,0,,
"Baumann, H. - Im Osten steht unser Morgen","""Baumann, Hans""",Im Osten steht unser Morgen,,,,,,,1900-2000,,4.21,,,,,0,,
"Baumann, H. - In den Ostwind hebt die Fahnen","""Baumann, Hans""",In den Ostwind hebt die Fahnen,,,,,20. Jh.,,1900-2000,,8.26,,,,,0,,
Baumbach - Allerseelen,"""Baumbach, Rudolf """,Allerseelen,,,,,,,1830-1900,,6.9,,,,,0,,
Baumbach - Das Zauberkraut,"""Baumbach, Rudolf """,Das Zauberkraut,,,,,,,1830-1900,,8.15,,,,,0,,
Baumbach - Der Friedel und die Nachtigall,"""Baumbach, Rudolf """,Der Friedel und die Nachtigall,,,,,1887,,1830-1900,,6.14,,,,,0,,
Baumbach - Die geschmückte Krähe,"""Baumbach, Rudolf """,Die geschmückte Krähe,,,,,,,1830-1900,,8.17,,,,,0,,
Baumbach - Die Wurzel der Wahrheit,"""Baumbach, Rudolf """,Die Wurzel der Wahrheit,,,,,,,1830-1900,,6.15,,,,,0,,
Baumbach - Rufe mich,"""Baumbach, Rudolf """,Rufe mich,,,,,,,1830-1900,,6.17,,,,,0,,
Becher - Das lachende Herz,"""Becher, Johannes R.""",Das lachende Herz,,,,,,,1900-2000,,4.58,,,,,0,,
Becher - Der dunkle Ruf,"""Becher, Johannes R.""",Der dunkle Ruf,,,,,,,1900-2000,,4.88,,,,,0,,
Becher - Die Mühle,"""Becher, Johannes R.""",Die Mühle,,,,,,,1900-2000,,4.62,,,,,0,,
"Becher - Du, in deinem Leide","""Becher, Johannes R.""","Du, in deinem Leide",,,,,,,1900-2000,,4.13,,,,,0,,
Becher - Ernst Wiechert,"""Becher, Johannes R.""",Ernst Wiechert,,,,,,,1900-2000,,3.7,,,,,0,,
Becher - Es war ein Leuchten in der,"""Becher, Johannes R.""",Es war ein Leuchten in der,,,,,,,1900-2000,,4.65,,,,,0,,
"Becher - Euch, die ihr heimkehrt","""Becher, Johannes R.""","Euch, die ihr heimkehrt",,,,,,,1900-2000,,4.107,,,,,0,,
Becher - Gericht,"""Becher, Johannes R.""",Gericht,,,,,,,1900-2000,,4.106,,,,,0,,
Becher - Ich habe Heimweh,"""Becher, Johannes R.""",Ich habe Heimweh,,,,,,,1900-2000,,4.67,,,,,0,,
Becher - Ihr Mütter Deutschlands,"""Becher, Johannes R.""",Ihr Mütter Deutschlands,,,,,1947,,1900-2000,,4.106,,,,,0,,
Becher - Lobgesang,"""Becher, Johannes R.""",Lobgesang,,,,,,,1900-2000,,4.91,,,,,0,,
Becher - Matthias Grünewald,"""Becher, Johannes R.""",Matthias Grünewald,,,,,,,1900-2000,,4.106,,,,,0,,
Becher - Melodien aus Utopia,"""Becher, Johannes R.""",Melodien aus Utopia,,,,,,,1900-2000,,4.106,,,,,0,,
Becher - Rechenschaft,"""Becher, Johannes R.""",Rechenschaft,,,,,,,1900-2000,,3.7,,,,,0,,
Becher - Rühme die Erde,"""Becher, Johannes R.""",Rühme die Erde,,,,,,,1900-2000,,4.94,,,,,0,,
Becher - Rühme die Zeiten,"""Becher, Johannes R.""",Rühme die Zeiten,,,,,,,1900-2000,,4.94,,,,,0,,
Becher - Schwerer Gang,"""Becher, Johannes R.""",Schwerer Gang,,,,,,,1900-2000,,2.5,,,,,0,,
Becher - Sich wandelnd,"""Becher, Johannes R.""",Sich wandelnd,,,,,,,1900-2000,,4.90,,,,,0,,
Becher - Trauernde Liebe,"""Becher, Johannes R.""",Trauernde Liebe,,,,,,,1900-2000,,4.2,,,,,0,,
Becher - Trostlied,"""Becher, Johannes R.""",Trostlied,,,,,,,1900-2000,,4.16,,,,,0,,
Becher - Wanderlied,"""Becher, Johannes R.""",Wanderlied,,,,,,,1900-2000,,5.14,,,,,0,,
Becher - Wenn wir abends,"""Becher, Johannes R.""",Wenn wir abends,,,,,,,1900-2000,,7.0,,,,,0,,
Becher - Zum Tode J.W. Stalins,"""Becher, Johannes R.""",Zum Tode J.W. Stalins,,,,,,,1900-2000,,4.103,,,,,0,,
Bechstein - Johannes Hilten,"""Bechstein, Ludwig""",Johannes Hilten,,,,,,,1830-1900,,8.7,,,,,0,,
Bechstein - Ruhe,"""Bechstein, Ludwig""",Ruhe,,,,,,,1830-1900,,7.10,,,,,0,,
Beck - Scheper un Spitz,"""Beck, Georg""",Scheper un Spitz,,,,,,,,,8.14,,,,,0,,
"Becker, C. - Ach wie groß ist der Feinde Rott","""Becker, Cornelius""",Ach wie groß ist der Feinde Rott,,,,,16. Jh.,,-1600,,11.1,,,,,0,,
"Becker, C. - Der Herr ist König überall","""Becker, Cornelius""",Der Herr ist König überall,,,,,16. Jh.,,-1600,,9.2,,,,,0,,
"Becker, C. - Erhör mich, wann ich ruf zu dir (Psalm 4)","""Becker, Cornelius""","Erhör mich, wann ich ruf zu dir (Psalm 4)",,,,,1602,,1600-1700,,6.16,,,,,0,,
"Becker, C. - Lobet, ihr Knecht, den Herren","""Becker, Cornelius""","Lobet, ihr Knecht, den Herren",,,,,,,-1600,,12.2,,,,,0,,
"Becker, C. - Mein Gott, mein Gott, ach Herr mein Gott","""Becker, Cornelius""","Mein Gott, mein Gott, ach Herr mein Gott",,,,,16. Jh.,,-1600,,5.6,,,,,0,,
"Becker, C. - Mit meinem Gott geh ich zur Ruh","""Becker, Cornelius""",Mit meinem Gott geh ich zur Ruh,,,,,1602,,1600-1700,,6.16,,,,,0,,
"Becker, G. - Das Geständnis","""Becker, Gottlieb""",Das Geständnis,Göttinger Musenalmanach 1788,Göttinger Musenalmanach 1788,,,1788,,1770-1830,,4.21,,,,,0,,
"Becker, N. - Der deutsche Rhein (Sie sollen ihn nicht haben, / Den freien deutschen Rhein)","""Becker, Nikolaus""","Der deutsche Rhein (Sie sollen ihn nicht haben, / Den freien deutschen Rhein)",,,,,1840,1832,1830-1900,,"4.20,8.7",,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b176758952e88df6fa0,0,,
"Becker, W.G. - Da sind wir nun abermals lustig beisammen","""Becker, Wilhelm Gottlieb""",Da sind wir nun abermals lustig beisammen,,,,,,,,,4.68,,,,,0,,
"Becker, W.G. - Frühlingsempfindung","""Becker, Wilhelm Gottlieb""",Frühlingsempfindung,,,,,,,1770-1830,,6.30,,,,,0,,
Beer-Hofmann - Schlaflied für Mirjam,"""Beer-Hofmann, Richard""",Schlaflied für Mirjam,,,,,20. Jh.,,1900-2000,Moderne / um 1900,7.8,,,,,0,Frank: daktylisch belebt,
"Behm - Getreuer Gott, wie wunderbar / dein Macht die Zeit regiert","""Behm, Martinus""","Getreuer Gott, wie wunderbar / dein Macht die Zeit regiert",,WA V 342,,,,,,um 1600,8.14,,,,,0,,
Behm - Herr Gott im Himmelsthrone,"""Behm, Martinus""",Herr Gott im Himmelsthrone,,,,,,,,um 1600,4.23,,,,,0,,
"Behm - Herr Jesu, das Gedächtnis dein","""Behm, Martinus""","Herr Jesu, das Gedächtnis dein",,,,,,,-1600,um 1600,4.57,,,,,0,,
"Behm - Herr Jesu, dir man danken","""Behm, Martinus""","Herr Jesu, dir man danken",,,,,,,,um 1600,4.34,,,,,0,,
Behm - Herzallerliebster Jesu Christ,"""Behm, Martinus""",Herzallerliebster Jesu Christ,,,,,,,-1600,um 1600,8.30,,,,,0,,
Behm - Nun sagen Lob mit Schalle,"""Behm, Martinus""",Nun sagen Lob mit Schalle,,WA V 303,,,1606,,1600-1700,um 1600,4.22,,,,,0,,
"Behm - O höchster Gott, dein Güt","""Behm, Martinus""","O höchster Gott, dein Güt ist groß",,,,,16. Jh.,,-1600,um 1600,8.17,,,,,0,,
Behm - Wenn ich zu dir mein Herr und Gott,"""Behm, Martinus""",Wenn ich zu dir mein Herr und Gott,,,,,15./16. Jh.,,-1600,um 1600,"3.4,3.4aaa",,,,,0,,
Behme - In dem Leben hier auf Erden,"""Behme, David""",In dem Leben hier auf Erden,,,,,,,1600-1700,,6.27,,,,,0,,
Behrens - Sommerfreden,"""Behrens, Ernst""",Sommerfreden,,,,,20. Jh.,,1900-2000,,8.31,,,,,0,,
Beitl - Am Fenster,"""Beitl, Richard""",Am Fenster,,,,,,,,,4.54,,,,,0,,
Beitl - Der Ruf,"""Beitl, Richard""",Der Ruf,,,,,,,,,"3.4,3.4aaa",,,,,0,,
Beitl - Die Wartende,"""Beitl, Richard""",Die Wartende,,,,,,,,,4.97,,,,,0,,
Beitl - Herbstgang,"""Beitl, Richard""",Herbstgang,,,,,,,,,4.46,,,,,0,,
Beitl - Klage,"""Beitl, Richard""",Klage,,,,,,,,,4.3,,,,,0,,
